Input1	Input2
-0.61686357	0.25507763
0.23636288	0.51543839
0.38914177	0.40429568
-0.95178678	-0.03772239
0.24087822	0.7194889
0.12446266	0.45178849
-0.6056643	0.26906478
-0.71397188	0.3087178
0.31008428	0.34675335
0.18018786	0.46204643
-0.42663885	0.64723225
0.0614323	0.3249115
0.07736952	0.32183287
0.4281497	0.13445957
-0.80250753	0.66878999
0.51481515	0.76203996
0.43127521	0.54259166
0.42286091	0.65242185
0.29815001	0.93453682
0.37128253	0.70089181
-0.51528729	0.7647349
0.38525783	0.65528189
-0.34825368	0.50529981
0.68510504	0.7806744
-0.36528923	0.45703265
-0.40903577	0.74230433
0.43574387	0.44689789
0.26887846	0.4455923
-0.49254862	1.01443372
0.0761596	0.6379518
